1号线	1	2	111.21
1号线	2	3	252.46
1号线	1	15	102.85
1号线	4	5	264.19
1号线	5	6	290.80
1号线	6	155	220.99
1号线	155	7	201.26
1号线	7	8	333.33
1号线	8	9	260.99
1号线	9	10	271.14
1号线	10	11	151.04
1号线	11	12	149.18
1号线	12	13	128.48
1号线	13	14	116.03
1号线	14	15	167.28
2号线	148	147	370.38
2号线	147	146	421.71
2号线	146	111	225.50
2号线	111	110	312.25
2号线	110	109	106.00
2号线	109	108	116.86
2号线	108	16	219.17
2号线	16	101	130.00
2号线	101	17	135.00
2号线	17	18	220.62
2号线	18	19	145.98
2号线	19	20	136.16
2号线	20	21	98.46
2号线	21	12	181.39
2号线	12	22	95.00
2号线	22	23	120.18
2号线	23	24	236.61
2号线	24	25	170.95
2号线	25	55	174.33
2号线	55	56	226.11
2号线	56	57	243.00
6号线	17	26	76.05
6号线	26	27	174.42
6号线	27	28	171.42
6号线	37	28	257.93
6号线	37	38	235.76
6号线	39	38	124.49
6号线	17	100	201.76
6号线	100	33	214.11
6号线	33	61	272.20
6号线	61	62	206.58
6号线	62	63	104.44
6号线	63	54	284.11
6号线	54	64	224.41
6号线	64	65	193.07
6号线	65	66	185.82
6号线	66	97	185.46
6号线	97	89	273.97
6号线	89	98	129.58
6号线	98	99	136.68
3号线	32	31	210.75
3号线	31	30	206.29
3号线	30	29	304.39
3号线	33	32	190.73
3号线	33	20	497.79
3号线	20	34	213.46
3号线	13	34	80.96
3号线	13	35	121.24
3号线	35	36	149.86
3号线	36	58	516.33
3号线	58	59	446.76
3号线	59	60	312.13
海西直通车	39	37	360.25
海西直通车	37	28	257.93
海西直通车	28	27	171.42
海西直通车	27	26	174.42
海西直通车	26	17	76.05
海西直通车	17	100	201.76
海西直通车	100	33	214.11
海西直通车	33	32	190.73
海西直通车	32	31	210.75
海西直通车	31	30	206.29
海西直通车	30	5	313.22
海西直通车	5	4	263.32
海西直通车	4	86	244.34
海西直通车	86	87	185.00
海西直通车	87	88	207.07
海西直通车	88	89	213.18
海西直通车	89	98	129.58
海西直通车	98	99	136.68
西湖环线	4	5	263.32
西湖环线	5	30	313.22
西湖环线	30	54	354.25
西湖环线	54	64	225.70
西湖环线	64	65	193.27
西湖环线	65	103	164.18
西湖环线	103	102	178.41
西湖环线	102	86	194.47
西湖环线	86	4	246.87
13号线	43	44	237.22
13号线	44	45	204.82
13号线	45	46	210.33
5号线	122	53	168.48
5号线	53	123	124.06
5号线	123	115	100.50
5号线	115	46	208.42
5号线	46	26	229.72
5号线	26	18	257.84
5号线	18	47	217.25
5号线	47	48	182.10
5号线	48	34	132.02
5号线	34	12	140.77
5号线	12	112	192.75
4号线	121	120	320.60
4号线	120	119	429.57
4号线	119	40	303.44
4号线	40	41	257.93
4号线	41	42	197.86
4号线	42	118	127.06
4号线	118	117	97.59
4号线	117	116	150.00
4号线	116	51	155.92
4号线	51	115	103.46
4号线	115	16	188.42
4号线	16	114	375.51
4号线	114	100	152.56
4号线	100	113	191.59
4号线	113	19	141.39
4号线	19	48	250.64
4号线	48	14	139.00
4号线	14	35	114.55
4号线	35	22	115.67
4号线	22	112	126.00
4号线	112	70	569.59
4号线	70	153	144.39
4号线	153	154	120.00
11号线	1	28	628.80
11号线	28	49	215.01
11号线	49	50	107.23
11号线	50	45	146.32
11号线	45	51	109.00
11号线	51	52	144.28
11号线	52	53	230.56
10号线	1	73	136.00
10号线	73	58	360.49
10号线	58	55	661.45
10号线	55	72	450.90
10号线	72	71	580.80
10号线	71	70	159.15
10号线	70	9	494.08
10号线	9	69	185.15
10号线	69	68	166.01
10号线	68	19	614.73
10号线	19	47	169.10
10号线	47	67	312.01
10号线	67	1	129.85
7号线	85	84	153.00
7号线	84	83	184.46
7号线	83	82	224.76
7号线	82	81	199.51
7号线	81	80	227.87
7号线	80	42	282.67
7号线	42	39	285.60
7号线	39	79	123.93
7号线	79	78	225.22
7号线	78	77	184.88
7号线	77	76	211.86
7号线	76	75	144.32
7号线	75	74	368.69
7号线	74	3	104.89
1号线	4	86	244.34
1号线	86	87	185.00
1号线	87	88	207.07
1号线	88	89	213.18
1号线	89	90	603.23
1号线	90	91	489.16
1号线	91	92	410.04
1号线	92	93	408.53
1号线	93	94	225.27
1号线	94	95	148.94
1号线	95	96	192.64
13号线	104	6	274.32
13号线	6	105	367.37
13号线	105	7	250.00
13号线	7	152	573.00
13号线	152	106	113.66
13号线	106	107	317.70
6号线	39	124	393.04
6号线	124	125	155.00
6号线	125	126	188.28
6号线支线	124	127	231.10
7号线	85	128	300.43
7号线	128	129	341.24
7号线	129	130	209.90
9号线	110	122	163.67
9号线	122	134	135.00
9号线	134	133	180.05
9号线	133	81	346.16
9号线	81	132	338.64
9号线	132	131	285.17
9号线	131	120	225.00
12号线	73	58	360.50
12号线	58	135	566.73
12号线	135	136	463.88
12号线	136	137	370.13
12号线	137	138	641.93
12号线	138	139	267.51
12号线	139	140	265.60
15号线	141	137	205.16
15号线	137	142	147.77
15号线	142	143	122.00
15号线	143	144	149.33
15号线	144	145	182.70
13号线	104	32	283.85
13号线	32	33	193.19
13号线	33	114	100.00
13号线	114	101	215.10
13号线	101	46	215.10
3号线	60	149	334.39
3号线	149	150	289.02
3号线	150	151	331.60
